type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
TV Show,bluey,TV_Y,2 Seasons,"Animation, Kids",9.7,dave mccormack,melanie zanetti,brad elliot,hsiao_ling tang,,,
Movie,dinner is served,TV_PG,21 min,"ComingOfAge, Drama",9.7,qi sun,briana liu,ben wang,harry jarvis,ray wise,dejean brown,
TV Show,cosmos: a spacetime odyssey,TV_PG,1 Season,"Action, Adventure, Docuseries, Family",9.3,neil tyson,stoney emshwiller,,,,,
TV Show,"heartland docs, dvm",TV_14,3 Seasons,"Animals_Nature, Docuseries, Family",9.1,dr. erin schroeder,dr. ben schroeder,,,,,
TV Show,cosmos: possible worlds,TV_14,1 Season,"Action, Adventure, Docuseries, Family",9.1,neil degrasse tyson,,,,,,
TV Show,alaska animal rescue,TV_PG,2 Seasons,"Animals_Nature, Docuseries, Family",9.0,victoria vosburg,,,,,,
TV Show,disney gravity falls,TV_Y7,2 Seasons,"Action, Adventure, Animation, Comedy",8.9,kristen schaal,jason morgan,alex hirsch,,,,
Movie,jingle pols,TV_14,45 min,"Animals_Nature, Documentary, Medical",8.9,dr. pol,,,,,,
TV Show,the mandalorian,TV_14,2 Seasons,"Action, Adventure, Family, Sci_Fi",8.8,pedro pascal,carl weathers,gina carano,omid abtahi,nick nolte,,
TV Show,secrets of the zoo: tampa,TV_PG,2 Seasons,"Animals_Nature, Docuseries, Family",8.7,dr. ray ball,dr. lauren smith,chris massaro,tiffany burns,mike burns,melinda mendolusky,
TV Show,the simpsons,TV_PG,32 Seasons,"Animation, Comedy",8.7,dan castellaneta,julie kavner,nancy cartwright,yeardley smith,hank azaria,pamela hayden,
TV Show,critter fixers: country vets,TV_14,2 Seasons,"Animals_Nature, Docuseries, Family",8.7,sullivan jones,,,,,,
TV Show,one strange rock,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.7,will smith,,,,,,
Movie,invincible,PG,105 min,"Biographical, Family, Sports",8.7,mark wahlberg,greg kinnear,elizabeth banks,michael rispoli,kevin conway,kirk acevedo,
Movie,star wars: the empire strikes back (episode v),PG,127 min,"Action, Adventure, Sci_Fi",8.7,mark hamill,harrison ford,carrie fisher,billy williams,anthony daniels,david prowse,
Movie,just roll with it: you decide live!,G,52 min,Comedy,8.6,tobie windham,suzi barrett,ramon reed,kaylin hayman,jc currais,raven_symonã©,
TV Show,the incredible dr. pol,TV_14,19 Seasons,"Animals_Nature, Docuseries, Family",8.6,rick robles,dr. pol,,,,,
Movie,star wars: a new hope (episode iv),PG,125 min,"Action, Adventure, Sci_Fi",8.6,mark hamill,harrison ford,carrie fisher,peter cushing,alec guinness,anthony daniels,
TV Show,unknown waters with jeremy wade,TV_14,1 Season,"Animals_Nature, Docuseries",8.5,jeremy wade,,,,,,
TV Show,secrets of the whales,TV_PG,1 Season,"Animals_Nature, Docuseries",8.5,sigourney weaver,james cameron,brian skerry,,,,
TV Show,into the unknown: making frozen 2,TV_PG,1 Season,"Docuseries, Family",8.5,kristen bell,idina menzel,josh gad,jonathan groff,jennifer lee,chris buck,
Movie,marvel studios' avengers: infinity war,PG_13,152 min,"Action, Adventure, Fantasy, Sci_Fi",8.5,robert downey jr.,chris hemsworth,mark ruffalo,chris evans,scarlett johansson,don cheadle,
Movie,the lion king,PG,125 min,"Action, Adventure, ComingOfAge, Drama",8.5,donald glover,seth rogen,chiwetel ejiofor,alfre woodard,billy eichner,john kani,
Movie,incredible! the story of dr. pol,TV_14,44 min,"Animals_Nature, Biographical, Documentary",8.5,ari rubin,dr. pol,,,,,
