type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Movie,niyazi gã¼l dã¶rtnala,TV-MA,102 min,"Comedies, InternationalMovies",9.7,ata demirer,demet akbaäÿ,åžebnem bozoklu,levent ãœlgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,god knows where i am,TV-PG,103 min,Documentaries,9.6,lori singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the chord,TV-MA,101 min,"Dramas, InternationalMovies, Music_Musicals",9.6,mostafa shaban,ghada adel,arwa gouda,ahmed salah al-saadany,ashraf zaki,sawsan badr,fatma nasser,said saleh,ali hassanein,majed abdulazim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the 4400,TV-14,4 Seasons,"TVDramas, TVMysteries, TVSci_Fi_Fantasy",9.5,joel gretsch,jacqueline mckenzie,patrick john flueger,conchita campbell,chad faust,richard kahan,mahershala ali,billy campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"plaire, aimer et courir vite",TV-MA,133 min,"Dramas, IndependentMovies, InternationalMovies",9.5,vincent lacoste,pierre deladonchamps,denis podalydã¨s,adã¨le wismes,thomas gonzalez,clement metayer,quentin thã©bault,tristan farge,sophie letourneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the chosen,TV-14,111 min,"Dramas, InternationalMovies, Thrillers",9.5,alfonso herrera,hannah murray,henry goodman,julian sands,frances barber,emilio echevarrã­a,alejandro calva,elvira mã­nguez,roger casamajor,luis rosales,javier godino,alexander holtmann,brontis jodorowsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,planet earth ii,TV-G,1 Season,"BritishTVShows, Docuseries, Science _ Nature TV",9.4,david attenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chhota bheem _ krishna: mayanagari,TV-Y7,67 min,Children_FamilyMovies,9.3,vatsal dubey,julie tejwani,rupa bhimani,jigna bhardwaj,rajesh kava,mousam,swapnil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chhota bheem _ krishna: pataliputra- city of the dead,TV-Y7,66 min,Children_FamilyMovies,9.3,vatsal dubey,julie tejwani,rupa bhimani,jigna bhardwaj,rajesh kava,arun shekher,sanchit wartak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,motu patlu in dragon's world,TV-Y7,78 min,"Children_FamilyMovies, Comedies",9.3,saurav chakrabarty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,iris,TV-14,1 Season,"InternationalTvShows, KoreanTVShows, TVAction_Adventure",9.3,lee byung-hun,kim tae-hee,jeong jun-ho,kim young-chul,kim seung-woo,kim so-yeon,yun ju-sang,lee jeong-kil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,imposters,TV-MA,2 Seasons,"CrimeTVShows, InternationalTvShows, TVComedies",9.3,inbar lavi,rob heaps,parker young,marianne rendã³n,stephen bishop,brian benben,katherine la nasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,blue mountain state: the rise of thadland,R,90 min,Comedies,9.3,alan ritchson,darin brooks,james cade,rob ramsay,chris romano,frankie shaw,omari newton,ed marinaro,dhani jones,ed amatrudo,jimmy tatro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,bob lazar: area 51 _ flying saucers,TV-MA,97 min,Documentaries,9.3,robert lazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,let there be light,TV-PG,58 min,"ClassicMovies, Documentaries",9.3,walter huston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the jungle book,TV-Y7,1 Season,KidsTV,9.3,emma tate,jimmy hibbert,sam gold,david holt,joseph j. terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,kota factory,TV-MA,2 Seasons,"InternationalTvShows, RomanticTVShows, TVComedies",9.2,mayur more,jitendra kumar,ranjan raj,alam khan,ahsaas channa,revathi pillai,urvi singh,arun kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,middle men,R,113 min,"Comedies, Dramas, IndependentMovies",9.2,luke wilson,giovanni ribisi,gabriel macht,james caan,jacinda barrett,kevin pollak,laura ramsey,rade serbedzija,terry crews,kelsey grammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,posesif,TV-MA,102 min,"Dramas, InternationalMovies, RomanticMovies",9.2,putri marino,adipati dolken,gritte agatha,chicco kurniawan,yayu unru,cut mini theo,ismail basbeth,maulidina k. putri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,daniel sloss: live shows,TV-MA,1 Season,"StandUpComedy _ Talk Shows, TVComedies",9.2,daniel sloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,issaq,TV-MA,140 min,"Dramas, InternationalMovies, Music_Musicals",9.2,prateik,amyra dastur,ravi kishan,prashant narayanan,rajeshwari sachdev,neena gupta,makarand deshpande,vineet kumar singh,amit sial,prashantt guptha,sudhir pandey,evelyn sharma,sandeep bose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,ùšùˆù… ø§ù„ø¯ùšù†,TV-14,97 min,"Dramas, IndependentMovies, InternationalMovies",9.2,rady gamal,ahmed abdelhafiz,shahira fahmy,shehab ibrahim,mohamed abd el azim,osama abdullah,khaled raafat,mohamed qishta,shoq emara,mahmoud fares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the last dance,TV-MA,1 Season,Docuseries,9.1,michael jordan,scottie pippen,dennis rodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,and then came lola,TV-MA,70 min,"Comedies, IndependentMovies, LGBTQMovies",9.1,ashleigh sumner,jill bennett,cathy debuono,jessica graham,angelyna martinez,candy tolentino,linda ignazi,jenoa harlow,lisa dewey,kathy domenici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the awakening of motti wolkenbruch,TV-MA,94 min,"Comedies, Dramas, InternationalMovies",9.1,inge maux,noã©mie schmidt,joel basman,sunnyi melles,udo samel,rachel braunschweig,oriana schrage,meytal gal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
