type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
TV Show,lots & lots of fire trucks,ALL,1 Season,SpecialInterest,10,james coffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,gulliver's travels,16+,77 min,Action,9.9,jessica dragonette,lanny ross,pinto colvig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,kill for me,R,95 min,"Drama, Suspense",9.8,katie cassidy,donal logue,tracy spiridakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,can you dream of more,16+,1 Season,Drama,9.7,aleksandra sizonenko,vlad nikityuk,irina verenich_ostrovskaya,sergey dzyalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,bubble guppies,TV_Y,3 Seasons,"Animation, Kids",9.7,bertrand, jacob,feinstein, tori,gambertoglio, bailey,gentilella, brianna,insana, tino,jurgensmeyer, jet,kaufman, grace,phillips, chris,vavasseur, mia,walker, markleik,walsh, teddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"cisco kid in _ ""phoney sheriff"" & ""lynching story""",13+,53 min,"Action, Comedy, Western",9.7,duncan renaldo,leo carrillo,phyllis coates,tom tyler,david bruce,carol forman,lane chandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,karuppu aadu,13+,93 min,Action,9.7,angaditheru mahesh,akshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,felã­cia 2,16+,31 min,"LGBTQ, Romance",9.7,marina pizatto,janaã­na barbosa,denise franzen,paulo sembranelli,lucas fraga,caio schroer,maria eduarda brandã£o,fernando braga,bruna kirsten,letã­cia wiest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,evilution,18+,91 min,"Action, Horror, Sci_Fi",9.7,eric peter_kaiser,tim colceri,james duval,guillermo diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,die another day (4k uhd),PG_13,133 min,"Action, Adventure",9.7,colin salmon,halle berry,pierce brosnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
